protein1,protein2,combined_score,protein1_original_name,protein2_original_name
9606.ENSP00000254579,9606.ENSP00000324173,163,DNHD1,HSPA5
9606.ENSP00000254579,9606.ENSP00000262442,360,DNHD1,DNAH9
9606.ENSP00000254579,9606.ENSP00000216068,206,DNHD1,DNAL4
9606.ENSP00000254579,9606.ENSP00000312554,540,DNHD1,DNAH12
9606.ENSP00000254579,9606.ENSP00000239690,165,DNHD1,NUDCD1
9606.ENSP00000254579,9606.ENSP00000385385,165,DNHD1,PDIA6
9606.ENSP00000254579,9606.ENSP00000360065,612,DNHD1,WDR78
9606.ENSP00000254579,9606.ENSP00000359300,197,DNHD1,CETN2
9606.ENSP00000254579,9606.ENSP00000265104,547,DNHD1,DNAH5
9606.ENSP00000254579,9606.ENSP00000288710,360,DNHD1,DRC1
9606.ENSP00000254579,9606.ENSP00000497351,292,DNHD1,GAN
9606.ENSP00000254579,9606.ENSP00000356056,245,DNHD1,DYNLT1
9606.ENSP00000254579,9606.ENSP00000480538,608,DNHD1,DNAI1
9606.ENSP00000254579,9606.ENSP00000318429,557,DNHD1,CCDC114
9606.ENSP00000254579,9606.ENSP00000376297,206,DNHD1,DYNLL1
9606.ENSP00000254579,9606.ENSP00000261383,540,DNHD1,DNAH3
9606.ENSP00000254579,9606.ENSP00000452037,550,DNHD1,DNAL1
9606.ENSP00000254579,9606.ENSP00000320130,184,DNHD1,DYNC1I1
9606.ENSP00000254579,9606.ENSP00000367841,245,DNHD1,DYNLT3
9606.ENSP00000254579,9606.ENSP00000383737,360,DNHD1,DNAH14
9606.ENSP00000254579,9606.ENSP00000401514,540,DNHD1,DNAH1
9606.ENSP00000254579,9606.ENSP00000380378,264,DNHD1,PAFAH1B1
9606.ENSP00000254579,9606.ENSP00000199447,637,DNHD1,NME8
9606.ENSP00000254579,9606.ENSP00000310829,540,DNHD1,CFAP70
9606.ENSP00000254579,9606.ENSP00000264717,378,DNHD1,GCKR
9606.ENSP00000254579,9606.ENSP00000458355,540,DNHD1,DNAH2
9606.ENSP00000254579,9606.ENSP00000311273,540,DNHD1,DNAH7
9606.ENSP00000254579,9606.ENSP00000361800,184,DNHD1,WDR34
9606.ENSP00000254579,9606.ENSP00000477310,206,DNHD1,DYNLL2
9606.ENSP00000254579,9606.ENSP00000384290,184,DNHD1,WDR60
9606.ENSP00000254579,9606.ENSP00000287380,264,DNHD1,TBC1D31
9606.ENSP00000254579,9606.ENSP00000400252,625,DNHD1,DNAI2
9606.ENSP00000254579,9606.ENSP00000312706,360,DNHD1,CCDC65
9606.ENSP00000254579,9606.ENSP00000455791,221,DNHD1,DYNLRB2
9606.ENSP00000254579,9606.ENSP00000374490,540,DNHD1,DNAH17
9606.ENSP00000254579,9606.ENSP00000391692,360,DNHD1,CCDC103
9606.ENSP00000254579,9606.ENSP00000379310,540,DNHD1,CASC1
9606.ENSP00000254579,9606.ENSP00000349679,221,DNHD1,DYNLRB1
9606.ENSP00000254579,9606.ENSP00000374045,360,DNHD1,DNAH6
9606.ENSP00000254579,9606.ENSP00000333363,547,DNHD1,DNAH8
9606.ENSP00000254579,9606.ENSP00000294664,608,DNHD1,WDR63
9606.ENSP00000254579,9606.ENSP00000380308,184,DNHD1,DYNC1I2
9606.ENSP00000254579,9606.ENSP00000300093,292,DNHD1,PLK1
9606.ENSP00000254654,9606.ENSP00000265709,534,ILKAP,ANK1
9606.ENSP00000254667,9606.ENSP00000263934,165,PTPRE,KIF1B
9606.ENSP00000254719,9606.ENSP00000365588,505,RPA1,MDC1
9606.ENSP00000254719,9606.ENSP00000234420,408,RPA1,MSH6
9606.ENSP00000254719,9606.ENSP00000313420,457,RPA1,PRKDC
9606.ENSP00000254759,9606.ENSP00000257430,163,COQ3,APC
9606.ENSP00000254799,9606.ENSP00000361664,229,GRSF1,HIVEP3
9606.ENSP00000254803,9606.ENSP00000313420,540,UTP3,PRKDC
9606.ENSP00000254810,9606.ENSP00000254846,377,H3-3B,KDM6B
9606.ENSP00000254810,9606.ENSP00000384018,426,H3-3B,NCOR2
9606.ENSP00000254810,9606.ENSP00000234420,335,H3-3B,MSH6
9606.ENSP00000254810,9606.ENSP00000381364,457,H3-3B,CABIN1
9606.ENSP00000254846,9606.ENSP00000250495,179,KDM6B,NEDD8
9606.ENSP00000254846,9606.ENSP00000467024,179,KDM6B,RAD23A
9606.ENSP00000254846,9606.ENSP00000358866,292,KDM6B,FLNA
9606.ENSP00000254846,9606.ENSP00000498587,267,KDM6B,NOTCH1
9606.ENSP00000254846,9606.ENSP00000477870,189,KDM6B,H4C7
9606.ENSP00000254846,9606.ENSP00000385479,424,KDM6B,H3C15
9606.ENSP00000254846,9606.ENSP00000314030,292,KDM6B,DNAJA2
9606.ENSP00000254846,9606.ENSP00000345837,540,KDM6B,DPY30
9606.ENSP00000254846,9606.ENSP00000459615,292,KDM6B,SRGAP2
9606.ENSP00000254846,9606.ENSP00000348924,214,KDM6B,H2BC7
9606.ENSP00000254846,9606.ENSP00000482538,245,KDM6B,H2AC16
9606.ENSP00000254846,9606.ENSP00000479461,189,KDM6B,H4C4
9606.ENSP00000254846,9606.ENSP00000366974,189,KDM6B,H4C2
9606.ENSP00000254846,9606.ENSP00000498321,377,KDM6B,MYD88
9606.ENSP00000254846,9606.ENSP00000367034,189,KDM6B,H4C3
9606.ENSP00000254846,9606.ENSP00000495360,402,KDM6B,CTNNB1
9606.ENSP00000254846,9606.ENSP00000264538,151,KDM6B,IFT57
9606.ENSP00000254846,9606.ENSP00000355780,377,KDM6B,H3-3A
9606.ENSP00000254846,9606.ENSP00000378295,309,KDM6B,INCENP
9606.ENSP00000254846,9606.ENSP00000493701,181,KDM6B,ENSP00000493701
9606.ENSP00000254846,9606.ENSP00000318297,323,KDM6B,RUVBL1
9606.ENSP00000254846,9606.ENSP00000262189,603,KDM6B,KMT2C
9606.ENSP00000254846,9606.ENSP00000367299,154,KDM6B,VPS36
9606.ENSP00000254846,9606.ENSP00000478501,189,KDM6B,ANAPC10
9606.ENSP00000254846,9606.ENSP00000381736,712,KDM6B,ATP5F1A
9606.ENSP00000254846,9606.ENSP00000307078,328,KDM6B,KIF5B
9606.ENSP00000254846,9606.ENSP00000332790,245,KDM6B,H2AC21
9606.ENSP00000254846,9606.ENSP00000367203,540,KDM6B,KDM6A
9606.ENSP00000254846,9606.ENSP00000239940,224,KDM6B,PFN2
9606.ENSP00000254846,9606.ENSP00000228682,465,KDM6B,GLI1
9606.ENSP00000254846,9606.ENSP00000362121,194,KDM6B,IFT52
9606.ENSP00000254846,9606.ENSP00000441543,181,KDM6B,UBC
9606.ENSP00000254846,9606.ENSP00000299767,403,KDM6B,HSP90B1
9606.ENSP00000254846,9606.ENSP00000477527,214,KDM6B,H2BC17
9606.ENSP00000254846,9606.ENSP00000349142,664,KDM6B,ATP5F1C
9606.ENSP00000254846,9606.ENSP00000405330,445,KDM6B,ESR1
9606.ENSP00000254846,9606.ENSP00000300688,293,KDM6B,ATP5MG
9606.ENSP00000254846,9606.ENSP00000350708,179,KDM6B,RAD23B
